name,symbol
Bitcoin,btc
Litecoin,ltc
Ripple,xrp
Dogecoin,doge
Monero,xmr
Stellar,xlm
Tether,usdt
Ethereum,eth
Ethereum Classic,etc
Maker,mkr
Basic Attention Token,bat
EOS,eos
Bitcoin Cash,bch
BNB,bnb
TRON,trx
Decentraland,mana
Chainlink,link
Cardano,ada
Filecoin,fil
Theta Network,theta
Huobi Token,ht
Ravencoin,rvn
Tezos,xtz
VeChain,vet
Quant,qnt
USD Coin,usdc
Cronos,cro
Wrapped Bitcoin,wbtc
Cosmos,atom
Polygon,matic
OKB,okb
UNUS SED LEO,leo
Algorand,algo
Chiliz,chz
THORChain,rune
Terra Classic,luna
FTX Token,ftt
Hedera,hbar
Binance USD,busd
Dai,dai
Solana,sol
Avalanche,avax
Shiba Inu,shib
The Sandbox,sand
Polkadot,dot
Elrond,egld
Uniswap,uni
Aave,aave
NEAR Protocol,near
Flow,flow
Internet Computer,icp
Casper,CSPR
Toncoin,ton
Chain,XCN
ApeCoin,APE
Aptos,apt
